algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,66,0.0,0.8860633111000061,0.3814896857738495,1.0,0.022321581710129976,2080742542587986.0,,1.0,1.0,554,0,29900,692,6.172684580087662,2230019898967326.8,7.898037882356709,2853342239010550.5,8.625,152.27
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,67,0.0,0.886134644150734,0.381138402223587,1.0,0.022064966013034183,2.227382491889533e+16,,1.0,1.0,554,0,29900,776,6.201721858978272,2.3872643191516692e+16,7.882466164234747,3.0342428520162796e+16,11.1,152.27
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,68,0.0,0.8861866436402003,0.38074341386556626,1.0,0.021893476992845537,2.341365883137006e+17,,1.0,1.0,798,0,29900,1018,6.207836809612456,2.512891550777947e+17,7.8378117037684705,3.1726946778773094e+17,10.476190476190476,153.49
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,69,0.0,0.886266311009725,0.38031737079223,1.0,0.021681173387914896,2.534629864947298e+18,,1.0,1.0,317,0,29900,345,6.224393844604492,2.7134721760217057e+18,7.806498884784544,3.4031775695506806e+18,3.111111111111111,151.085
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,70,0.0,0.8863279767831167,0.38002579589684804,1.0,0.021426331947247187,inf,,1.0,1.0,147,0,29900,185,6.224941968917847,inf,7.75531152959542,inf,4.75,150.235
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,71,0.0,0.8864013115564983,0.37976069619258246,1.0,0.021266199660797912,nan,,1.0,1.0,30181,281,0,58,6.217851209640503,nan,7.695006122494531,nan,5.8,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,72,0.0,0.8864919775724411,0.3794741201400757,1.0,0.021124623970439037,nan,,1.0,1.0,30441,541,0,108,6.240177090962728,nan,7.67132288575718,nan,7.2,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,73,0.0,0.8865286425749461,0.37918283194303515,1.0,0.020836838570733866,nan,,1.0,1.0,30518,618,0,206,6.249170184135437,nan,7.631332973085788,nan,10.3,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,74,0.0,0.8865466443697612,0.37890466620524726,1.0,0.020593921194473903,nan,,1.0,1.0,30546,646,0,128,6.259044647216797,nan,7.592604958094463,nan,8.533333333333333,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,75,0.0,0.8865836447477341,0.3787477245926857,1.0,0.020352767513444028,nan,,1.0,1.0,30444,544,0,104,6.275328840528216,nan,7.561778413464171,nan,7.428571428571429,0.0
